Epoch,Loss,NDCG@10,HR@10
1,0.6102092266082764,0.0037293989526177365,0.027483443708609213
2,0.5262256264686584,0.005966444875523789,0.03857615894039726
3,0.437893271446228,0.009827386573521918,0.06655629139072847
4,0.3833271265029907,0.01199172780416131,0.07367549668874199
5,0.33486509323120117,0.013318164427842042,0.07963576158940447
6,0.2980259656906128,0.013688051779653486,0.08013245033112634
7,0.2592194676399231,0.01242286608546693,0.08079470198675551
8,0.23045286536216736,0.014009178927586201,0.08443708609271591
9,0.20572510361671448,0.013209600438724323,0.07864238410596072
10,0.18206003308296204,0.013879667624276311,0.08576158940397424
11,0.17845088243484497,0.014120492038673457,0.08427152317880862
12,0.17096944153308868,0.01301993886964604,0.08062913907284822
13,0.1650325506925583,0.01346080640599401,0.0846026490066232
14,0.15013813972473145,0.014508161883667171,0.08675496688741799
15,0.15975137054920197,0.01322611089430781,0.08526490066225237
16,0.14991973340511322,0.013468072029649754,0.08394039735099404
17,0.14224986732006073,0.013439325369546078,0.0846026490066232
18,0.14234144985675812,0.014247353394450704,0.0884105960264909
19,0.13770265877246857,0.014251953112456705,0.08526490066225237
20,0.13608330488204956,0.012786080676379175,0.0809602649006628
21,0.13070130348205566,0.0127711196910951,0.0846026490066232
22,0.13251663744449615,0.012773052470512934,0.08625827814569612
23,0.11839985847473145,0.012558271929575529,0.08327814569536487
24,0.11964396387338638,0.012959054780765422,0.08360927152317946
25,0.12472638487815857,0.013029960492604607,0.08559602649006695
26,0.11913586407899857,0.01404133332872508,0.08543046357615966
27,0.11180122941732407,0.014160392173047359,0.08625827814569612
28,0.11219217628240585,0.013994581859190407,0.08543046357615966
29,0.11520806699991226,0.013546714745335928,0.08708609271523257
30,0.11563967913389206,0.01360794198836134,0.08559602649006695
31,0.11122651398181915,0.01301153184172197,0.08410596026490133
32,0.10451030731201172,0.013465093467912189,0.08774834437086174
33,0.10128894448280334,0.013173107555512239,0.08526490066225237
34,0.10215765237808228,0.01328520749951688,0.08294701986755029
35,0.0995698869228363,0.013555959224809191,0.08427152317880862
36,0.09796041995286942,0.014302954587730085,0.08543046357615966
37,0.09230366349220276,0.013957201842781868,0.08294701986755029
38,0.09663360565900803,0.013779463758808482,0.08211920529801384
39,0.08990629017353058,0.013729340049622233,0.082781456953643
40,0.08746480196714401,0.014161639304399681,0.08311258278145758
41,0.08237752318382263,0.013605519974718516,0.08394039735099404
42,0.08788016438484192,0.013775465857885283,0.08360927152317946
43,0.08563803881406784,0.013355367846461864,0.08228476821192113
44,0.08242771774530411,0.013893235854583798,0.082781456953643
45,0.08121877908706665,0.01381901553933768,0.082781456953643
46,0.07484900951385498,0.013483788042087127,0.08443708609271591
47,0.07480458915233612,0.013237522601661797,0.08079470198675551
48,0.07354258745908737,0.013574428381167273,0.08344370860927217
49,0.07316605001688004,0.013771704792328558,0.08394039735099404
50,0.07042177766561508,0.012971700966783246,0.0809602649006628
